store_location,daypart,product_detail,units,revenue
Lower Manhattan,2–5p,Jamaican Coffee River Lg,304,1140.0
Lower Manhattan,2–5p,Columbian Medium Roast Lg,301,903.0
Lower Manhattan,2–5p,English Breakfast Lg,292,876.0
Lower Manhattan,2–5p,Jamaican Coffee River Sm,287,703.1500000000001
Lower Manhattan,5–9p,Latte Rg,188,799.0
Lower Manhattan,5–9p,Ethiopia Sm,173,380.6
Lower Manhattan,5–9p,Brazilian Lg,170,595.0
Lower Manhattan,5–9p,Jamaican Coffee River Sm,166,406.70000000000005
Lower Manhattan,5–9p,Our Old Time Diner Blend Rg,162,405.0
Lower Manhattan,5–9p,Earl Grey Lg,158,474.0
Lower Manhattan,5–9p,Earl Grey Rg,155,387.5
Lower Manhattan,5–9p,Latte,155,581.25
Lower Manhattan,5–9p,Lemon Grass Rg,152,380.0
Lower Manhattan,5–9p,Spicy Eye Opener Chai Lg,150,465.0
Lower Manhattan,Other,Sugar Free Vanilla syrup,172,137.60000000000002
Lower Manhattan,Other,Dark chocolate Lg,146,657.0
Lower Manhattan,Other,Columbian Medium Roast Rg,138,345.0
Lower Manhattan,Other,Sustainably Grown Organic Lg,136,646.0
Lower Manhattan,Other,Dark chocolate Rg,127,444.5
Lower Manhattan,Other,Serenity Green Tea Lg,111,333.0
Lower Manhattan,Other,Jamaican Coffee River Lg,108,405.0
Lower Manhattan,Other,Peppermint Rg,108,270.0
Lower Manhattan,Other,Brazilian Sm,102,224.4
Lower Manhattan,Other,Earl Grey Lg,102,306.0
