store_location,product_detail,month,units,share_in_month
Astoria,Dark chocolate Rg,2023-02,188,0.024358642135268203
Astoria,Dark chocolate Rg,2023-03,220,0.022002200220022004
Astoria,Dark chocolate Rg,2023-04,243,0.02020621985697655
Astoria,Dark chocolate Rg,2023-05,327,0.020292912994911257
Astoria,Dark chocolate Rg,2023-06,344,0.020411796119385272
Astoria,Earl Grey,2023-01,4,0.0004830334500664171
Astoria,Earl Grey,2023-02,4,0.0005182689816014512
Astoria,Earl Grey,2023-03,2,0.00020002000200020003
Astoria,Earl Grey,2023-04,8,0.0006652253450856477
Astoria,Earl Grey,2023-05,5,0.000310289189524637
Astoria,Earl Grey,2023-06,7,0.0004153563163828399
Astoria,Earl Grey Lg,2023-01,172,0.020770438352855934
Astoria,Earl Grey Lg,2023-02,157,0.020342057527856956
Astoria,Earl Grey Lg,2023-03,193,0.0193019301930193
Astoria,Earl Grey Lg,2023-04,240,0.019956760352569432
Astoria,Earl Grey Lg,2023-05,323,0.020044681643291547
Astoria,Earl Grey Lg,2023-06,354,0.021005162285646473
Astoria,Earl Grey Rg,2023-01,191,0.023064847240671416
Astoria,Earl Grey Rg,2023-02,174,0.022544700699663123
Astoria,Earl Grey Rg,2023-03,264,0.026402640264026403
Astoria,Earl Grey Rg,2023-04,301,0.025029103608847497
Astoria,Earl Grey Rg,2023-05,394,0.024450788134541393
Astoria,Earl Grey Rg,2023-06,401,0.02379398326707411
Astoria,English Breakfast,2023-01,5,0.0006037918125830214
Astoria,English Breakfast,2023-02,5,0.000647836227001814
Astoria,English Breakfast,2023-03,7,0.0007000700070007
Astoria,English Breakfast,2023-04,9,0.0007483785132213537
Astoria,English Breakfast,2023-05,14,0.0008688097306689834
Astoria,English Breakfast,2023-06,15,0.0008900492493917997
Astoria,English Breakfast Lg,2023-01,169,0.02040816326530612
Astoria,English Breakfast Lg,2023-02,145,0.018787250583052605
Astoria,English Breakfast Lg,2023-03,198,0.019801980198019802
Astoria,English Breakfast Lg,2023-04,239,0.019873607184433727
Astoria,English Breakfast Lg,2023-05,308,0.019113814074717638
Astoria,English Breakfast Lg,2023-06,329,0.019521746869993473
Astoria,English Breakfast Rg,2023-01,148,0.01787223765245743
Astoria,English Breakfast Rg,2023-02,147,0.01904638507385333
Astoria,English Breakfast Rg,2023-03,203,0.0203020302030203
Astoria,English Breakfast Rg,2023-04,221,0.01837685015799102
Astoria,English Breakfast Rg,2023-05,295,0.01830706218195358
Astoria,English Breakfast Rg,2023-06,325,0.019284400403488992
Astoria,Espresso Roast,2023-01,7,0.0008453085376162299
Astoria,Espresso Roast,2023-02,5,0.000647836227001814
Astoria,Espresso Roast,2023-03,8,0.0008000800080008001
Astoria,Espresso Roast,2023-04,7,0.0005820721769499418
Astoria,Espresso Roast,2023-05,12,0.0007446940548591287
Astoria,Espresso Roast,2023-06,12,0.0007120393995134397
Astoria,Espresso shot,2023-01,170,0.020528921627822726
Astoria,Espresso shot,2023-02,151,0.01956465405545478
Astoria,Espresso shot,2023-03,197,0.019701970197019702
Astoria,Espresso shot,2023-04,241,0.020039913520705138
Astoria,Espresso shot,2023-05,334,0.020727317860245748
Astoria,Espresso shot,2023-06,344,0.020411796119385272
Astoria,Ethiopia,2023-01,9,0.0010868252626494385
Astoria,Ethiopia,2023-02,10,0.001295672454003628
Astoria,Ethiopia,2023-03,11,0.0011001100110011
Astoria,Ethiopia,2023-04,10,0.0008315316813570597
Astoria,Ethiopia,2023-05,15,0.0009308675685739109
Astoria,Ethiopia,2023-06,20,0.0011867323325223996
Astoria,Ethiopia Lg,2023-01,128,0.015457070402125347
Astoria,Ethiopia Lg,2023-02,156,0.020212490282456596
Astoria,Ethiopia Lg,2023-03,188,0.018801880188018802
Astoria,Ethiopia Lg,2023-04,199,0.01654748045900549
Astoria,Ethiopia Lg,2023-05,319,0.01979645029167184
Astoria,Ethiopia Lg,2023-06,318,0.018869044087106154
Astoria,Ethiopia Rg,2023-01,171,0.020649679990339332
Astoria,Ethiopia Rg,2023-02,150,0.019435086810054417
Astoria,Ethiopia Rg,2023-03,196,0.0196019601960196
Astoria,Ethiopia Rg,2023-04,239,0.019873607184433727
Astoria,Ethiopia Rg,2023-05,303,0.018803524885193
Astoria,Ethiopia Rg,2023-06,359,0.02130184536877707
Astoria,Ethiopia Sm,2023-01,191,0.023064847240671416
Astoria,Ethiopia Sm,2023-02,170,0.022026431718061675
Astoria,Ethiopia Sm,2023-03,210,0.021002100210021003
Astoria,Ethiopia Sm,2023-04,280,0.023282887077997673
Astoria,Ethiopia Sm,2023-05,372,0.02308551570063299
Astoria,Ethiopia Sm,2023-06,396,0.023497300183943512
Astoria,Ginger Biscotti,2023-01,65,0.007849293563579277
Astoria,Ginger Biscotti,2023-02,72,0.00932884166882612
Astoria,Ginger Biscotti,2023-03,97,0.0097009700970097
Astoria,Ginger Biscotti,2023-04,101,0.008398469981706303
Astoria,Ginger Biscotti,2023-05,159,0.009867196226883455
Astoria,Ginger Biscotti,2023-06,145,0.008603809410787398
Astoria,Ginger Scone,2023-01,76,0.009177635551261925
Astoria,Ginger Scone,2023-02,64,0.008292303705623219
Astoria,Ginger Scone,2023-03,90,0.009000900090009001
Astoria,Ginger Scone,2023-04,114,0.00947946116747048
Astoria,Ginger Scone,2023-05,143,0.008874270820404618
Astoria,Ginger Scone,2023-06,161,0.009553195276805317
Astoria,Guatemalan Sustainably Grown,2023-01,5,0.0006037918125830214
Astoria,Guatemalan Sustainably Grown,2023-02,7,0.0009069707178025395
Astoria,Guatemalan Sustainably Grown,2023-03,5,0.0005000500050005
Astoria,Guatemalan Sustainably Grown,2023-04,5,0.00041576584067852984
Astoria,Guatemalan Sustainably Grown,2023-05,10,0.000620578379049274
Astoria,Guatemalan Sustainably Grown,2023-06,8,0.00047469293300895983
Astoria,Hazelnut Biscotti,2023-01,81,0.009781427363844946
Astoria,Hazelnut Biscotti,2023-02,79,0.01023581238662866
Astoria,Hazelnut Biscotti,2023-03,101,0.010101010101010102
Astoria,Hazelnut Biscotti,2023-04,103,0.008564776317977715
Astoria,Hazelnut Biscotti,2023-05,144,0.008936328658309544
Astoria,Hazelnut Biscotti,2023-06,156,0.009256512193674717
Astoria,Hazelnut syrup,2023-01,52,0.006279434850863423
Astoria,Hazelnut syrup,2023-02,55,0.007126198497019953
Astoria,Hazelnut syrup,2023-03,57,0.005700570057005701
Astoria,Hazelnut syrup,2023-04,69,0.005737568601363712
Astoria,Hazelnut syrup,2023-05,106,0.006578130817922303
Astoria,Hazelnut syrup,2023-06,95,0.005636978579481398
Astoria,I Need My Bean! Diner mug,2023-01,10,0.0012075836251660428
Astoria,I Need My Bean! Diner mug,2023-02,5,0.000647836227001814
Astoria,I Need My Bean! Diner mug,2023-03,12,0.0012001200120012002
Astoria,I Need My Bean! Diner mug,2023-04,13,0.0010809911857641776
Astoria,I Need My Bean! Diner mug,2023-05,9,0.0005585205411443465
Astoria,I Need My Bean! Diner mug,2023-06,17,0.0010087224826440396
Astoria,I Need My Bean! Latte cup,2023-01,14,0.0016906170752324597
Astoria,I Need My Bean! Latte cup,2023-02,11,0.0014252396994039907
Astoria,I Need My Bean! Latte cup,2023-03,15,0.0015001500150015
Astoria,I Need My Bean! Latte cup,2023-04,23,0.0019125228671212373
Astoria,I Need My Bean! Latte cup,2023-05,17,0.0010549832443837656
Astoria,I Need My Bean! Latte cup,2023-06,22,0.0013054055657746395
Astoria,I Need My Bean! T-shirt,2023-01,18,0.002173650525298877
Astoria,I Need My Bean! T-shirt,2023-02,9,0.001166105208603265
Astoria,I Need My Bean! T-shirt,2023-03,14,0.0014001400140014
Astoria,I Need My Bean! T-shirt,2023-04,16,0.0013304506901712955
Astoria,I Need My Bean! T-shirt,2023-05,24,0.0014893881097182574
Astoria,I Need My Bean! T-shirt,2023-06,30,0.0017800984987835994
Astoria,Jamacian Coffee River,2023-01,6,0.0007245501750996257
Astoria,Jamacian Coffee River,2023-02,5,0.000647836227001814
Astoria,Jamacian Coffee River,2023-03,7,0.0007000700070007
Astoria,Jamacian Coffee River,2023-04,9,0.0007483785132213537
Astoria,Jamacian Coffee River,2023-05,12,0.0007446940548591287
Astoria,Jamacian Coffee River,2023-06,12,0.0007120393995134397
Astoria,Jamaican Coffee River Lg,2023-01,185,0.02234029706557179
Astoria,Jamaican Coffee River Lg,2023-02,164,0.021249028245659496
Astoria,Jamaican Coffee River Lg,2023-03,241,0.0241024102410241
Astoria,Jamaican Coffee River Lg,2023-04,250,0.020788292033926493
Astoria,Jamaican Coffee River Lg,2023-05,348,0.021596127590914733
Astoria,Jamaican Coffee River Lg,2023-06,363,0.02153919183528155
Astoria,Jamaican Coffee River Rg,2023-01,179,0.021615746890472166
Astoria,Jamaican Coffee River Rg,2023-02,162,0.020989893754858772
Astoria,Jamaican Coffee River Rg,2023-03,205,0.0205020502050205
Astoria,Jamaican Coffee River Rg,2023-04,305,0.02536171628139032
Astoria,Jamaican Coffee River Rg,2023-05,350,0.021720243266724587
Astoria,Jamaican Coffee River Rg,2023-06,376,0.02231056785142111
Astoria,Jamaican Coffee River Sm,2023-01,151,0.018234512740007244
Astoria,Jamaican Coffee River Sm,2023-02,156,0.020212490282456596
Astoria,Jamaican Coffee River Sm,2023-03,173,0.017301730173017303
Astoria,Jamaican Coffee River Sm,2023-04,215,0.017877931149176785
Astoria,Jamaican Coffee River Sm,2023-05,307,0.019051756236812708
Astoria,Jamaican Coffee River Sm,2023-06,321,0.019047053936984512
Astoria,Jumbo Savory Scone,2023-01,88,0.010626735901461177
Astoria,Jumbo Savory Scone,2023-02,78,0.010106245141228298
Astoria,Jumbo Savory Scone,2023-03,96,0.009600960096009602
Astoria,Jumbo Savory Scone,2023-04,122,0.010144686512556128
Astoria,Jumbo Savory Scone,2023-05,162,0.010053369740598237
Astoria,Jumbo Savory Scone,2023-06,154,0.009137838960422476
Astoria,Latte,2023-01,189,0.02282333051563821
Astoria,Latte,2023-02,175,0.022674267945063487
Astoria,Latte,2023-03,208,0.020802080208020803
Astoria,Latte,2023-04,272,0.022617661732912023
Astoria,Latte,2023-05,364,0.022589052997393572
Astoria,Latte,2023-06,353,0.02094582566902035
Astoria,Latte Rg,2023-01,173,0.02089119671537254
Astoria,Latte Rg,2023-02,166,0.021508162736460223
Astoria,Latte Rg,2023-03,225,0.022502250225022502
Astoria,Latte Rg,2023-04,245,0.02037252619324796
Astoria,Latte Rg,2023-05,320,0.019858508129576766
Astoria,Latte Rg,2023-06,367,0.02177653830178603
Astoria,Lemon Grass,2023-01,5,0.0006037918125830214
Astoria,Lemon Grass,2023-02,5,0.000647836227001814
Astoria,Lemon Grass,2023-03,4,0.00040004000400040005
Astoria,Lemon Grass,2023-04,7,0.0005820721769499418
Astoria,Lemon Grass,2023-05,9,0.0005585205411443465
Astoria,Lemon Grass,2023-06,12,0.0007120393995134397
Astoria,Lemon Grass Lg,2023-01,166,0.02004588817775631
Astoria,Lemon Grass Lg,2023-02,147,0.01904638507385333
Astoria,Lemon Grass Lg,2023-03,188,0.018801880188018802
Astoria,Lemon Grass Lg,2023-04,244,0.020289373025112255
Astoria,Lemon Grass Lg,2023-05,305,0.018927640561002854
Astoria,Lemon Grass Lg,2023-06,327,0.019403073636741233
Astoria,Lemon Grass Rg,2023-01,185,0.02234029706557179
Astoria,Lemon Grass Rg,2023-02,133,0.01723244363824825
Astoria,Lemon Grass Rg,2023-03,188,0.018801880188018802
Astoria,Lemon Grass Rg,2023-04,237,0.019707300848162315
Astoria,Lemon Grass Rg,2023-05,366,0.022713168673203426
Astoria,Lemon Grass Rg,2023-06,372,0.02207322138491663
Astoria,Morning Sunrise Chai,2023-01,6,0.0007245501750996257
Astoria,Morning Sunrise Chai,2023-02,5,0.000647836227001814
Astoria,Morning Sunrise Chai,2023-03,9,0.0009000900090009
Astoria,Morning Sunrise Chai,2023-04,8,0.0006652253450856477
Astoria,Morning Sunrise Chai,2023-05,12,0.0007446940548591287
Astoria,Morning Sunrise Chai,2023-06,12,0.0007120393995134397
Astoria,Morning Sunrise Chai Lg,2023-01,154,0.018596787827557058
Astoria,Morning Sunrise Chai Lg,2023-02,180,0.023322104172065303
Astoria,Morning Sunrise Chai Lg,2023-03,237,0.023702370237023703
Astoria,Morning Sunrise Chai Lg,2023-04,248,0.020621985697655082
Astoria,Morning Sunrise Chai Lg,2023-05,362,0.022464937321583715
Astoria,Morning Sunrise Chai Lg,2023-06,396,0.023497300183943512
Astoria,Morning Sunrise Chai Rg,2023-01,173,0.02089119671537254
Astoria,Morning Sunrise Chai Rg,2023-02,167,0.021637729981860587
Astoria,Morning Sunrise Chai Rg,2023-03,235,0.023502350235023502
Astoria,Morning Sunrise Chai Rg,2023-04,256,0.021287211042740728
Astoria,Morning Sunrise Chai Rg,2023-05,349,0.02165818542881966
Astoria,Morning Sunrise Chai Rg,2023-06,365,0.02165786506853379
Astoria,Oatmeal Scone,2023-01,71,0.008573843738678904
Astoria,Oatmeal Scone,2023-02,78,0.010106245141228298
Astoria,Oatmeal Scone,2023-03,90,0.009000900090009001
Astoria,Oatmeal Scone,2023-04,113,0.009396307999334774
Astoria,Oatmeal Scone,2023-05,145,0.008998386496214471
Astoria,Oatmeal Scone,2023-06,156,0.009256512193674717
Astoria,Organic Decaf Blend,2023-01,5,0.0006037918125830214
Astoria,Organic Decaf Blend,2023-02,2,0.0002591344908007256
Astoria,Organic Decaf Blend,2023-03,8,0.0008000800080008001
Astoria,Organic Decaf Blend,2023-04,7,0.0005820721769499418
Astoria,Organic Decaf Blend,2023-05,10,0.000620578379049274
Astoria,Organic Decaf Blend,2023-06,12,0.0007120393995134397
Astoria,Our Old Time Diner Blend,2023-01,5,0.0006037918125830214
Astoria,Our Old Time Diner Blend,2023-02,3,0.00038870173620108835
Astoria,Our Old Time Diner Blend,2023-03,6,0.0006000600060006001
Astoria,Our Old Time Diner Blend,2023-04,11,0.0009146848494927657
Astoria,Our Old Time Diner Blend,2023-05,11,0.0006826362169542013
Astoria,Our Old Time Diner Blend,2023-06,10,0.0005933661662611998
Astoria,Our Old Time Diner Blend Lg,2023-01,168,0.02028740490278952
Astoria,Our Old Time Diner Blend Lg,2023-02,148,0.019175952319253693
Astoria,Our Old Time Diner Blend Lg,2023-03,219,0.021902190219021903
Astoria,Our Old Time Diner Blend Lg,2023-04,251,0.0208714452020622
Astoria,Our Old Time Diner Blend Lg,2023-05,364,0.022589052997393572
Astoria,Our Old Time Diner Blend Lg,2023-06,373,0.022132558001542752
Astoria,Our Old Time Diner Blend Rg,2023-01,170,0.020528921627822726
Astoria,Our Old Time Diner Blend Rg,2023-02,150,0.019435086810054417
Astoria,Our Old Time Diner Blend Rg,2023-03,201,0.020102010201020103
Astoria,Our Old Time Diner Blend Rg,2023-04,238,0.01979045401629802
Astoria,Our Old Time Diner Blend Rg,2023-05,368,0.02283728434901328
Astoria,Our Old Time Diner Blend Rg,2023-06,352,0.020886489052394232
Astoria,Our Old Time Diner Blend Sm,2023-01,170,0.020528921627822726
Astoria,Our Old Time Diner Blend Sm,2023-02,161,0.020860326509458408
Astoria,Our Old Time Diner Blend Sm,2023-03,232,0.0232023202320232
Astoria,Our Old Time Diner Blend Sm,2023-04,258,0.02145351737901214
Astoria,Our Old Time Diner Blend Sm,2023-05,381,0.023644036241777338
Astoria,Our Old Time Diner Blend Sm,2023-06,373,0.022132558001542752
Astoria,Peppermint,2023-01,9,0.0010868252626494385
Astoria,Peppermint,2023-02,6,0.0007774034724021767
Astoria,Peppermint,2023-03,11,0.0011001100110011
Astoria,Peppermint,2023-04,8,0.0006652253450856477
Astoria,Peppermint,2023-05,10,0.000620578379049274
Astoria,Peppermint,2023-06,11,0.0006527027828873198
Astoria,Peppermint Lg,2023-01,152,0.01835527110252385
Astoria,Peppermint Lg,2023-02,152,0.019694221300855144
Astoria,Peppermint Lg,2023-03,204,0.0204020402040204
Astoria,Peppermint Lg,2023-04,215,0.017877931149176785
Astoria,Peppermint Lg,2023-05,341,0.02116172272558024
Astoria,Peppermint Lg,2023-06,358,0.021242508752150953
Astoria,Peppermint Rg,2023-01,181,0.021857263615505374
Astoria,Peppermint Rg,2023-02,186,0.02409950764446748
Astoria,Peppermint Rg,2023-03,235,0.023502350235023502
Astoria,Peppermint Rg,2023-04,281,0.02336604024613338
Astoria,Peppermint Rg,2023-05,392,0.02432667245873154
Astoria,Peppermint Rg,2023-06,398,0.023615973417195752
Astoria,Primo Espresso Roast,2023-01,9,0.0010868252626494385
Astoria,Primo Espresso Roast,2023-02,6,0.0007774034724021767
Astoria,Primo Espresso Roast,2023-03,7,0.0007000700070007
Astoria,Primo Espresso Roast,2023-04,7,0.0005820721769499418
Astoria,Primo Espresso Roast,2023-05,8,0.0004964627032394191
Astoria,Primo Espresso Roast,2023-06,9,0.0005340295496350798
Astoria,Scottish Cream Scone ,2023-01,76,0.009177635551261925
Astoria,Scottish Cream Scone ,2023-02,55,0.007126198497019953
Astoria,Scottish Cream Scone ,2023-03,79,0.0079007900790079
Astoria,Scottish Cream Scone ,2023-04,112,0.009313154831199068
Astoria,Scottish Cream Scone ,2023-05,142,0.008812212982499689
Astoria,Scottish Cream Scone ,2023-06,139,0.008247789711030677
Astoria,Serenity Green Tea,2023-01,6,0.0007245501750996257
Astoria,Serenity Green Tea,2023-02,3,0.00038870173620108835
Astoria,Serenity Green Tea,2023-03,10,0.001000100010001
Astoria,Serenity Green Tea,2023-04,6,0.0004989190088142358
Astoria,Serenity Green Tea,2023-05,10,0.000620578379049274
Astoria,Serenity Green Tea,2023-06,7,0.0004153563163828399
Astoria,Serenity Green Tea Lg,2023-01,171,0.020649679990339332
Astoria,Serenity Green Tea Lg,2023-02,171,0.022155998963462036
Astoria,Serenity Green Tea Lg,2023-03,198,0.019801980198019802
Astoria,Serenity Green Tea Lg,2023-04,259,0.021536670547147845
Astoria,Serenity Green Tea Lg,2023-05,341,0.02116172272558024
Astoria,Serenity Green Tea Lg,2023-06,348,0.020649142585889752
Astoria,Serenity Green Tea Rg,2023-01,169,0.02040816326530612
Astoria,Serenity Green Tea Rg,2023-02,165,0.02137859549105986
Astoria,Serenity Green Tea Rg,2023-03,208,0.020802080208020803
Astoria,Serenity Green Tea Rg,2023-04,241,0.020039913520705138
Astoria,Serenity Green Tea Rg,2023-05,298,0.018493235695668363
Astoria,Serenity Green Tea Rg,2023-06,329,0.019521746869993473
Astoria,Spicy Eye Opener Chai,2023-01,3,0.00036227508754981284
Astoria,Spicy Eye Opener Chai,2023-02,4,0.0005182689816014512
Astoria,Spicy Eye Opener Chai,2023-03,5,0.0005000500050005
Astoria,Spicy Eye Opener Chai,2023-04,8,0.0006652253450856477
Astoria,Spicy Eye Opener Chai,2023-05,9,0.0005585205411443465
Astoria,Spicy Eye Opener Chai,2023-06,8,0.00047469293300895983
Astoria,Spicy Eye Opener Chai Lg,2023-01,204,0.02463470595338727
Astoria,Spicy Eye Opener Chai Lg,2023-02,170,0.022026431718061675
Astoria,Spicy Eye Opener Chai Lg,2023-03,219,0.021902190219021903
Astoria,Spicy Eye Opener Chai Lg,2023-04,273,0.02270081490104773
Astoria,Spicy Eye Opener Chai Lg,2023-05,370,0.022961400024823136
Astoria,Spicy Eye Opener Chai Lg,2023-06,398,0.023615973417195752
Astoria,Spicy Eye Opener Chai Rg,2023-01,181,0.021857263615505374
Astoria,Spicy Eye Opener Chai Rg,2023-02,163,0.021119461000259136
Astoria,Spicy Eye Opener Chai Rg,2023-03,202,0.020202020202020204
Astoria,Spicy Eye Opener Chai Rg,2023-04,262,0.021786130051554966
Astoria,Spicy Eye Opener Chai Rg,2023-05,358,0.022216705969964005
Astoria,Spicy Eye Opener Chai Rg,2023-06,354,0.021005162285646473
Astoria,Sugar Free Vanilla syrup,2023-01,67,0.008090810288612487
Astoria,Sugar Free Vanilla syrup,2023-02,56,0.007255765742420316
Astoria,Sugar Free Vanilla syrup,2023-03,74,0.007400740074007401
Astoria,Sugar Free Vanilla syrup,2023-04,97,0.008065857309163479
